,Date,Door,Count
642,2017-07-03 16:00,DoorC,25
643,2017-07-03 16:00,DoorD,99
644,2017-07-03 16:00,DoorE,49
645,2017-07-03 16:30,DoorA,41
646,2017-07-03 16:30,DoorB,77
647,2017-07-03 16:30,DoorC,28
648,2017-07-03 16:30,DoorD,101
649,2017-07-03 16:30,DoorE,38
650,2017-07-03 17:00,DoorA,46
651,2017-07-03 17:00,DoorB,66
652,2017-07-03 17:00,DoorC,26
653,2017-07-03 17:00,DoorD,116
654,2017-07-03 17:00,DoorE,41
655,2017-07-03 17:30,DoorA,49
656,2017-07-03 17:30,DoorB,69
657,2017-07-03 17:30,DoorC,30
658,2017-07-03 17:30,DoorD,95
659,2017-07-03 17:30,DoorE,38
660,2017-07-03 18:00,DoorA,60
661,2017-07-03 18:00,DoorB,62
662,2017-07-03 18:00,DoorC,32
663,2017-07-03 18:00,DoorD,99
664,2017-07-03 18:00,DoorE,42
665,2017-07-03 18:30,DoorA,47
666,2017-07-03 18:30,DoorB,79
667,2017-07-03 18:30,DoorC,30
668,2017-07-03 18:30,DoorD,88
669,2017-07-03 18:30,DoorE,41
670,2017-07-03 19:00,DoorA,48
671,2017-07-03 19:00,DoorB,67
672,2017-07-03 19:00,DoorC,22
673,2017-07-03 19:00,DoorD,101
674,2017-07-03 19:00,DoorE,55
675,2017-07-03 19:30,DoorA,53
676,2017-07-03 19:30,DoorB,69
677,2017-07-03 19:30,DoorC,31
678,2017-07-03 19:30,DoorD,101
679,2017-07-03 19:30,DoorE,38
680,2017-07-03 20:00,DoorA,44
681,2017-07-03 20:00,DoorB,82
682,2017-07-03 20:00,DoorC,26
683,2017-07-03 20:00,DoorD,97
684,2017-07-03 20:00,DoorE,39
685,2017-07-03 20:30,DoorA,41
686,2017-07-03 20:30,DoorB,75
687,2017-07-03 20:30,DoorC,36
688,2017-07-03 20:30,DoorD,114
689,2017-07-03 20:30,DoorE,51
690,2017-07-03 21:00,DoorA,0
691,2017-07-03 21:00,DoorB,0
692,2017-07-03 21:00,DoorC,0
693,2017-07-03 21:00,DoorD,0
694,2017-07-03 21:00,DoorE,0
695,2017-07-03 21:30,DoorA,0
